Var1,Var2_1,Var2_2,Var2_3
1.79,1,0.993374153871744,0.999568209170084
1.8,1,0.992126422888612,0.997830850993666
1.81,1,0.992290505678072,0.996267378326485
1.82,1,0.993453015412395,0.994872099609176
1.83,1,0.994996252417275,0.993638739868492
1.84,1,0.996247941926088,0.992560535592235
1.85,1,0.99664421706336,0.991630324101098
1.86,1,0.995865964468434,0.99084062733516
1.87,1,0.9939151703924,0.990183730017057
1.88,1,0.991112593736381,0.989651752194343
1.89,1,0.988017353066664,0.989236716200275
1.9,1,0.985288131492196,0.9889306081054
1.91,1,0.983519995958809,0.98872543376187
1.92,1,0.983096796665531,0.988613269568636
1.93,1,0.984095296491322,0.988586308108627
1.94,1,0.986264513786209,0.988636898828852
1.95,1,0.989085345843055,0.988757583951269
1.96,1,0.991895883717604,0.988941129816392
1.97,1,0.994051744441339,0.98918055387306
1.98,1,0.995082172153633,0.989469147536867
1.99,1,0.994803694609823,0.98980049514644
2,1,0.993363512514846,0.990168489251395
2.01,1,0.991202002111543,0.990567342468429
2.02,1,0.988943514529929,0.990991596142861
2.03,1,0.98724221009494,0.991436126052154
2.04,1,0.986620674094516,0.991896145385647
2.05,1,0.98734082721004,0.992367205231171
2.06,1,0.989338736356381,0.992845192794368
2.07,1,0.992239286088734,0.993326327570758
2.08,1,0.995447117592782,0.993807155683806
2.09,1,0.998291568872555,0.994284542594729
2.1,1,1.00019012798514,0.9947556643816
2.11,1,1.00079037819028,0.995217997776538
2.12,1,1.00005567951574,0.995669309140637
2.13,1,0.998273606273472,0.996107642546727
2.14,1,0.995985071885556,0.996531307130331
2.15,1,0.993851490717198,0.996938863859252
2.16,1,0.99249249717653,0.997329111862231
2.17,1,0.992333950843819,0.997701074447093
2.18,1,0.99350343793963,0.998053984928907
2.19,1,0.995798850635795,0.998387272378797
2.2,1,0.998737733689405,0.99870054739447
2.21,1,1.00167531322759,0.998993587984023
2.22,1,1.00396230675194,0.999266325645511
2.23,1,1.00510387364796,0.999518831715821
2.24,1,1.0048807863139,0.999751304053931
2.25,1,1.00340315181283,0.999964054115398
2.26,1,1.00108352802953,1.00015749446718
2.27,1,0.998536013455198,1.00033212678441
2.28,1,0.996426014075532,1.00048853036391
2.29,1,0.995307466926408,1.00062735118233
2.3,1,0.995487371056459,1.00074929152104
2.31,1,0.996950790965496,1.00085510017388
2.32,1,0.999364691955638,1.00094556324855
2.33,1,1.00215966617205,1.00102149556773
2.34,1,1.00466953789597,1.00108373267132
2.35,1,1.00629466593644,1.00113312341721
2.36,1,1.00664895923398,1.00117052317417
2.37,1,1.00565460950419,1.00119678759744
2.38,1,1.00356134558051,1.00121276697416
2.39,1,1.00088549397192,1.00121930112371
2.4,1,0.998283764518846,1.00121721483538
2.41,1,0.996392661731667,1.00120731382408
2.42,1,0.995672838551369,1.0011903811831
2.43,1,0.996296499313178,1.00116717431147
2.44,1,0.998105418861133,1.00113842229277
2.45,1,1.00064985557256,1.0011048237009
2.46,1,1.003298830503,1.00106704480811
2.47,1,1.00539477204285,1.00102571817027
2.48,1,1.00641466334241,1.0009814415637
2.49,1,1.00609823774145,1.00093477724861
2.5,1,1.00451183531517,1.00088625153371
2.51,1,1.00203228612277,1.00083635461739
2.52,1,0.999254766063442,1.0007855406809
2.53,1,0.996847185461692,1.00073422821002
2.54,1,0.995386761211382,1.0006828005218
2.55,1,0.995218785442764,1.00063160647439
2.56,1,0.996372169237669,1.00058096133824
2.57,1,0.998552439444574,1.00053114780814
2.58,1,1.00121390345883,1.00048241713667
2.59,1,1.00369331378335,1.00043499037024
2.6,1,1.00537230691836,1.00038905967027
2.61,1,1.00582884618996,1.000344789703
2.62,1,1.00494059036286,1.00030231908248
2.63,1,1.00291488013997,1.00026176185229
2.64,1,1.00023800116152,1.00022320899284
2.65,1,0.99755614605055,1.00018672994178
2.66,1,0.99551722051057,1.00015237411651
2.67,1,0.994612225222931,1.00012017242846
2.68,1,0.995055049148938,1.00009013877998
2.69,1,0.996730105385784,1.00006227153555
2.7,1,0.999220630496126,1.00003655496014
2.71,1,1.00191071899167,1.000012960618
2.72,1,1.00413611170438,0.999991448726599
2.73,1,1.00534682011627,0.999971969460787
2.74,1,1.00524177085124,0.999954464203152
2.75,1,1.00384250495999,0.999938866737378
2.76,1,1.00148788812736,0.999925104381924
2.77,1,0.998751127198466,0.999913099062089
2.78,1,0.996299410528107,0.999902768319041
2.79,1,0.994730537331737,0.999894026254996
2.8,1,0.994426535096423,0.999886784414163
2.81,1,0.995460104824998,0.999880952599598
2.82,1,0.997576799775483,0.999876439626443
2.83,1,1.00025730114167,0.999873154012478
2.84,1,1.00284454358118,0.999871004607173
2.85,1,1.00470456597816,0.999869901160774
2.86,1,1.00538170569996,0.99986975483517
2.87,1,1.00471013950306,0.999870478658549
2.88,1,1.00285446209292,0.999871987926002
2.89,1,1.00026936738671,0.999874200548412
2.9,1,0.997588303995179,0.999877037352083
2.91,1,0.995468366016713,0.999880422331669
2.92,1,0.994429395346978,0.999884282859016
2.93,1,0.994726688920295,0.999888549850611
2.94,1,0.996288476629463,0.999893157896331
2.95,1,0.998733477540564,0.999898045352195
2.96,1,1.00146423605124,0.999903154399827
2.97,1,1.00381338605992,0.999908431075293
2.98,1,1.00520703258308,0.999913825269936
2.99,1,1.00530524930278,0.999919290705768
3,1,1.004085293339,0.999924784887936
3.01,1,1.00184716335685,0.999930269036668
3.02,1,0.999140140174049,0.999935708001028
3.03,1,0.996628295269395,0.99994107015674
3.04,1,0.99492789537544,0.999946327290185
3.05,1,0.99445651215424,0.999951454470635
3.06,1,0.995330780139513,0.999956429912626
3.07,1,0.997337835333954,0.999961234830286
3.08,1,0.999987427254466,0.999965853285321
3.09,1,1.00263194554288,0.999970272030228
3.1,1,1.00462497440438,0.999974480348227
3.11,1,1.0054795551792,0.999978469891239
3.12,1,1.00498740881161,0.999982234517176
3.13,1,1.00326992835923,0.999985770127671
3.14,1,1.00074845675889,0.999989074507269
3.15,1,0.998041126850465,0.999992147165013
3.16,1,0.99581152078078,0.99999498917923
3.17,1,0.994606202206602,0.999997603046271
3.18,1,0.994720899043685,0.999999992533804
3.19,1,0.996128099856891,1.00000216253924
3.2,1,0.998483790786462,1.0000041189537
3.21,1,1.00121168354349,1.00000586853203
3.22,1,1.00364431249268,1.00000741876893
3.23,1,1.00518645530613,1.00000877778176
3.24,1,1.00546086608451,1.00000995419991
3.25,1,1.00440064036864,1.00001095706097
3.26,1,1.00226559784048,1.00001179571383
3.27,1,0.999578671633835,1.00001247972857
3.28,1,0.996997878348477,1.00001301881317
3.29,1,0.995155214953639,1.000013422737
3.3,1,0.994501926219199,1.00001370126093
3.31,1,0.995198026587281,1.00001386407389
3.32,1,0.997073125367994,1.00001392073575
3.33,1,0.999668146604036,1.00001388062632
3.34,1,1.00234772911408,1.00001375290017
3.35,1,1.0044557872535,1.0000135464471
3.36,1,1.0054761456833,1.00001326985803
3.37,1,1.0051589191455,1.00001293139593
3.38,1,1.00358169506114,1.00001253897157
3.39,1,1.00113053931161,1.00001210012391
3.4,1,0.998405475645468,1.0000116220046
3.41,1,0.996073580645015,1.00001111136657
3.42,1,0.994705661725503,1.00001057455624
3.43,1,0.994636505086917,1.0000100175091
3.44,1,0.995882909792759,1.00000944574843
3.45,1,0.998139576091672,1.00000886438685
3.46,1,1.00085385466455,1.00000827813042
3.47,1,1.00336105557545,1.00000769128503
3.48,1,1.00504718857753,1.00000710776486
3.49,1,1.00549929027347,1.00000653110257
3.5,1,1.00460653280096,1.00000596446119
3.51,1,1.00258735911378,1.00000541064723
3.52,1,0.99993600119815,1.00000487212496
3.53,1,0.997301475433912,1.00000435103168
3.54,1,0.995328681259776,1.0000038491937
3.55,1,0.99450050773512,1.00000336814286
3.56,1,0.995019605822694,1.00000290913354
3.57,1,0.996758772664802,1.00000247315991
3.58,1,0.99929209551668,1.00000206097327
3.59,1,1.00199923022013,1.00000167309943
3.6,1,1.00421728321438,1.00000130985598
3.61,1,1.00540311107496,1.00000097136932
3.62,1,1.00526630099715,1.00000065759138
3.63,1,1.00384027396774,1.00000036831601
3.64,1,1.00147410209289,1.0000001031948
3.65,1,0.998747043489153,0.999999861752495
3.66,1,0.996326719581006,0.999999643401747
3.67,1,0.994805657951943,0.999999447457278
3.68,1,0.994556220763515,0.999999273149391
3.69,1,0.995639437328027,0.999999119636784
3.7,1,0.997790061803741,0.999998986018669
3.71,1,1.00048151441284,0.999998871346155
3.72,1,1.00305480630977,0.999998774632912
3.73,1,1.00487988279839,0.9999986948651
3.74,1,1.00550988245361,0.999998631010561
3.75,1,1.00479054413686,0.999998582027295
3.76,1,1.00289797525422,0.999998546871217
3.77,1,1.00029553427233,0.999998524503214
3.78,1,0.997620384157646,0.999998513895527
3.79,1,0.995527492415165,0.999998514037466
3.8,1,0.994529271959245,0.999998523940486
3.81,1,0.994870124325255,0.999998542642664
3.82,1,0.996466601420375,0.999998569212571
3.83,1,0.998927836304796,0.999998602752601
3.84,1,1.00165124083635,0.99999864240177
3.85,1,1.00397004005824,0.99999868733801
3.86,1,1.00531652176687,0.999998736780004
3.87,1,1.00536103207246,0.999998789988578
3.88,1,1.00409268599197,0.999998846267698
3.89,1,1.00182203230643,0.999998904965076
3.9,1,0.99910502023292,0.999998965472448
3.91,1,0.996606883521621,0.999999027225527
3.92,1,0.994939267898272,0.999999089703677
3.93,1,0.994510478734346,0.999999152429323
3.94,1,0.995425513537969,0.999999214967141
3.95,1,0.997460354798114,0.999999276923036
3.96,1,1.0001168171901,0.999999337942948
3.97,1,1.0027445206334,0.999999397711502
3.98,1,1.00470012594284,0.99999945595053
3.99,1,1.00550484663197,0.99999951241748
4,1,1.00496167248532,0.999999566903739
4.01,1,1.00320360448028,0.999999619232892
4.02,1,1.00066109146715,0.999999669258916
4.03,1,0.997956641243328,0.999999716864356
4.04,1,0.995752408905662,0.999999761958469
4.05,1,0.994588078167658,0.999999804475367
4.06,1,0.994748727948517,0.999999844372167
4.07,1,0.996195035100992,0.999999881627162
4.08,1,0.998572902084073,0.999999916238015
4.09,1,1.00130015239004,0.999999948219993
4.1,1,1.00370906766129,0.999999977604258
4.11,1,1.00520986843918,1.00000000443619
4.12,1,1.00543511275563,1.00000002877379
4.13,1,1.00432965875567,1.00000005068614
4.14,1,1.0021641653632,1.00000007025193
4.15,1,0.999468825555594,1.00000008755804
4.16,1,0.99690355665244,1.00000010269825
4.17,1,0.995096429562662,1.00000011577196
4.18,1,0.994489895144981,1.00000012688303
4.19,1,0.995232456831466,1.0000001361387
4.2,1,0.997142311833711,1.00000014364854
4.21,1,0.99975186283217,1.00000014952356
4.22,1,1.00242220213449,1.0000001538753
4.23,1,1.00449953858792,1.0000001568151
4.24,1,1.00547526848179,1.00000015845333
4.25,1,1.00511049950045,1.00000015889881
4.26,1,1.00349453991971,1.00000015825818
4.27,1,1.00102303285167,1.00000015663544
4.28,1,0.998301089037161,1.0000001541315
4.29,1,0.995995134656472,1.00000015084378
4.3,1,0.994669746981253,1.00000014686592
4.31,1,0.99464942619044,1.00000014228749
4.32,1,0.995939146430482,1.00000013719379
4.33,1,0.99822313799117,1.00000013166565
4.34,1,1.00094219876284,1.00000012577935
4.35,1,1.00343060643389,1.00000011960652
4.36,1,1.00507911054762,1.00000011321408
4.37,1,1.00548409827834,1.00000010666426
4.38,1,1.00454641294248,1.00000010001459
4.39,1,1.00249563102665,1.000000093318
4.4,1,0.99983385386959,1.00000008662283
4.41,1,0.997212775754582,1.000000079973
4.42,1,0.995274126430768,1.00000007340808
4.43,1,0.994492553298891,1.00000006696346
4.44,1,0.995059411182133,1.00000006067046
4.45,1,0.996835911999148,1.00000005455656
4.46,1,0.999387104933338,1.00000004864551
4.47,1,1.00208836756787,1.00000004295756
4.48,1,1.0042783352426,1.00000003750963
4.49,1,1.00542082619285,1.00000003231549
4.5,1,1.00523611754866,1.00000002738599
4.51,1,1.00376943125163,1.00000002272926
4.52,1,1.00137986214837,1.00000001835085
4.53,1,0.998652459049527,1.00000001425399
4.54,1,0.99625498437743,1.00000001043977
4.55,1,0.994774422636305,1.00000000690731
4.56,1,0.994573266133653,1.00000000365396
4.57,1,0.99570076422038,1.00000000067547
4.58,1,0.997880865331047,0.999999997966179
4.59,1,1.00057980403338,0.999999995519181
4.6,1,1.00313678542016,0.99999999332647
4.61,1,1.00492577074664,0.999999991379109
4.62,1,1.00550875354696,0.999999989667364
4.63,1,1.00474299889072,0.999999988180847
4.64,1,1.00281598986951,0.999999986908645
4.65,1,1.00019952519474,0.999999985839435
4.66,1,0.997534206415879,0.9999999849616
4.67,1,0.99547259631661,0.999999984263333
4.68,1,0.994519448783615,0.999999983732728
4.69,1,0.994908127448391,0.999999983357871
4.7,1,0.996543470128569,0.999999983126921
4.71,1,0.99902508784623,0.999999983028173
4.72,1,1.00174539401096,0.999999983050132
4.73,1,1.00403836280476,0.999999983181564
4.74,1,1.00534259552809,0.999999983411547
4.75,1,1.00533877057834,0.999999983729513
4.76,1,1.0040278245124,0.999999984125287
4.77,1,1.00173072274242,0.999999984589119
4.78,1,0.99900987600651,0.999999985111703
4.79,1,0.996531442603109,0.999999985684206
4.8,1,0.994902229604308,0.999999986298275
4.81,1,0.994521125319482,0.999999986946052
4.82,1,0.995481437523562,0.999999987620179
4.83,1,0.997548048457754,0.999999988313802
4.84,1,1.00021497985527,0.999999989020566
4.85,1,1.00282927406614,0.999999989734616
4.86,1,1.00475086086122,0.999999990450586
4.87,1,1.00550926894621,0.99999999116359
4.88,1,1.00491881374162,0.999999991869209
4.89,1,1.00312405944277,0.999999992563483
4.9,1,1.00056442466191,0.999999993242885
4.91,1,0.99786659742591,0.999999993904314
4.92,1,0.995691100089987,0.999999994545071
4.93,1,0.994570570428005,0.999999995162839
4.94,1,0.994779353328477,0.999999995755667
4.95,1,0.996266331597285,0.999999996321948
4.96,1,0.998667441229184,0.999999996860396
4.97,1,1.00139480697316,0.999999997370025
4.98,1,1.00378067469651,0.999999997850132
4.99,1,1.0052409008851,0.999999998300271
5,1,1.00541797134822,0.999999998720234
5.01,1,1.00426853316118,0.999999999110031
5.02,1,1.00207400897327,0.99999999946987
