Time,Vref_1,V7,D_1,portadora,Vout
3.96e-005,1,0.0166186,0.0547658,0.9,0.0656973
3.98e-005,1,0.0166055,0.056687,0.95,0.0663698
4e-005,1,0.0165923,0.0586072,1,0.0670381
4.02e-005,1,0.016579,0.0605266,0.05,0.0678099
4.04e-005,1,0.0189655,0.0243489,0.1,0.0686416
4.06e-005,1,0.0192449,0.0216919,0.15,0.0694575
4.08e-005,1,0.0192311,0.0236883,0.2,0.0702698
4.1e-005,1,0.0192171,0.0256836,0.25,0.0710771
4.12e-005,1,0.019203,0.0276778,0.3,0.0718795
4.14e-005,1,0.0191887,0.029671,0.35,0.0726769
4.16e-005,1,0.0191742,0.0316631,0.4,0.0734695
4.18e-005,1,0.0191596,0.0336542,0.45,0.0742572
4.2e-005,1,0.0191448,0.0356443,0.5,0.07504
4.22e-005,1,0.0191299,0.0376332,0.55,0.075818
4.24e-005,1,0.0191148,0.0396212,0.6,0.0765911
4.26e-005,1,0.0190996,0.0416081,0.65,0.0773595
4.28e-005,1,0.0190842,0.0435939,0.7,0.078123
4.3e-005,1,0.0190686,0.0455787,0.75,0.0788817
4.32e-005,1,0.0190529,0.0475624,0.8,0.0796356
4.34e-005,1,0.0190371,0.0495451,0.85,0.0803848
4.36e-005,1,0.0190211,0.0515267,0.9,0.0811293
4.38e-005,1,0.0190049,0.0535073,0.95,0.081869
4.4e-005,1,0.0189886,0.0554868,1,0.082604
4.42e-005,1,0.0189722,0.0574652,0.05,0.0834418
4.44e-005,1,0.0213555,0.0213466,0.1,0.0843311
4.46e-005,1,0.0215467,0.0200974,0.15,0.085207
4.48e-005,1,0.0215297,0.0221499,0.2,0.0860788
4.5e-005,1,0.0215126,0.0242012,0.25,0.0869451
4.52e-005,1,0.0214953,0.0262513,0.3,0.087806
4.54e-005,1,0.0214778,0.0283003,0.35,0.0886616
4.56e-005,1,0.0214602,0.030348,0.4,0.0895117
4.58e-005,1,0.0214424,0.0323946,0.45,0.0903565
4.6e-005,1,0.0214244,0.0344399,0.5,0.0911959
4.62e-005,1,0.0214062,0.0364841,0.55,0.09203
4.64e-005,1,0.0213879,0.0385271,0.6,0.0928588
4.66e-005,1,0.0213694,0.0405689,0.65,0.0936823
4.68e-005,1,0.0213508,0.0426095,0.7,0.0945005
4.7e-005,1,0.0213319,0.0446489,0.75,0.0953134
4.72e-005,1,0.021313,0.0466871,0.8,0.0961211
4.74e-005,1,0.0212938,0.0487241,0.85,0.0969236
4.76e-005,1,0.0212745,0.05076,0.9,0.0977208
4.78e-005,1,0.021255,0.0527946,0.95,0.0985129
4.8e-005,1,0.0212354,0.054828,1,0.0992998
4.82e-005,1,0.0212156,0.0568603,0.05,0.100189
4.84e-005,1,0.0235956,0.0207953,0.1,0.101127
4.86e-005,1,0.0237668,0.0198649,0.15,0.102053
4.88e-005,1,0.0237464,0.0219702,0.2,0.102974
4.9e-005,1,0.0237259,0.0240743,0.25,0.103888
4.92e-005,1,0.0237052,0.026177,0.3,0.104798
4.94e-005,1,0.0236843,0.0282784,0.35,0.105701
4.96e-005,1,0.0236633,0.0303784,0.4,0.106598
4.98e-005,1,0.0236421,0.0324772,0.45,0.10749
5e-005,1,0.0236207,0.0345746,0.5,0.108375
5.02e-005,1,0.0235991,0.0366707,0.55,0.109255
5.04e-005,1,0.0235773,0.0387654,0.6,0.11013
5.06e-005,1,0.0235554,0.0408589,0.65,0.110998
5.08e-005,1,0.0235332,0.042951,0.7,0.111861
5.1e-005,1,0.023511,0.0450417,0.75,0.112718
5.12e-005,1,0.0234885,0.0471312,0.8,0.11357
5.14e-005,1,0.0234659,0.0492193,0.85,0.114415
5.16e-005,1,0.0234431,0.051306,0.9,0.115255
5.18e-005,1,0.0234201,0.0533915,0.95,0.11609
5.2e-005,1,0.023397,0.0554756,1,0.116919
5.22e-005,1,0.0233737,0.0575583,0.05,0.11785
5.24e-005,1,0.0257502,0.0215437,0.1,0.118831
5.26e-005,1,0.0259373,0.0203531,0.15,0.119798
5.28e-005,1,0.0259134,0.0225091,0.2,0.12076
5.3e-005,1,0.0258894,0.0246637,0.25,0.121716
5.32e-005,1,0.0258651,0.0268169,0.3,0.122666
5.34e-005,1,0.0258407,0.0289686,0.35,0.123609
5.36e-005,1,0.025816,0.0311188,0.4,0.124547
5.38e-005,1,0.0257912,0.0332675,0.45,0.125478
5.4e-005,1,0.0257662,0.0354148,0.5,0.126402
5.42e-005,1,0.025741,0.0375606,0.55,0.127321
5.44e-005,1,0.0257157,0.039705,0.6,0.128233
5.46e-005,1,0.0256901,0.0418479,0.65,0.12914
5.48e-005,1,0.0256644,0.0439893,0.7,0.13004
5.5e-005,1,0.0256384,0.0461293,0.75,0.130934
5.52e-005,1,0.0256124,0.0482678,0.8,0.131822
5.54e-005,1,0.0255861,0.0504048,0.85,0.132704
5.56e-005,1,0.0255596,0.0525403,0.9,0.133579
5.58e-005,1,0.025533,0.0546744,0.95,0.134449
5.6e-005,1,0.0255062,0.056807,1,0.135313
5.62e-005,1,0.0254792,0.0589382,0.05,0.136278
5.64e-005,1,0.027852,0.0229718,0.1,0.137297
5.66e-005,1,0.0280741,0.0212168,0.15,0.1383
5.68e-005,1,0.0280465,0.0234219,0.2,0.139298
5.7e-005,1,0.0280187,0.0256255,0.25,0.140289
5.72e-005,1,0.0279908,0.0278275,0.3,0.141274
5.74e-005,1,0.0279626,0.0300278,0.35,0.142252
5.76e-005,1,0.0279343,0.0322266,0.4,0.143223
5.78e-005,1,0.0279057,0.0344238,0.45,0.144188
