Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
9.7e-005,0,1.21973,10,1.44834,0.7,0.335988,5,0.7,0.552725,5,0.7
9.8e-005,0,1.22647,10,1.4739,0.8,0.337706,5,0.8,0.5548,5,0.8
9.9e-005,0,1.23326,10,1.49838,0.9,0.339428,5,0.9,0.556927,5,0.9
0.0001,0,1.24012,10,1.52181,1,0.341153,5,1,0.559108,5,1
0.000101,1,1.24704,10,1.54662,0.1,0.342884,5,0.1,0.56134,5,0.1
0.000102,1,1.25387,10,1.57392,0.2,0.344574,5,0.2,0.563477,5,0.2
0.000103,1,1.26055,10,1.60305,0.3,0.346202,5,0.3,0.565453,5,0.3
0.000104,0,1.26712,10,1.63416,0.4,0.34778,5,0.4,0.567306,5,0.4
0.000105,0,1.27356,10,1.66398,0.5,0.349302,5,0.5,0.569024,5,0.5
0.000106,0,1.28007,10,1.69287,0.6,0.350829,5,0.6,0.570804,5,0.6
0.000107,0,1.28662,10,1.72053,0.7,0.352356,5,0.7,0.572624,5,0.7
0.000108,0,1.29324,10,1.74699,0.8,0.353887,5,0.8,0.574503,5,0.8
0.000109,0,1.29993,10,1.77226,0.9,0.355423,5,0.9,0.576438,5,0.9
0.00011,0,1.30668,10,1.79638,1,0.356965,5,1,0.578429,5,1
0.000111,1,1.31349,10,1.82176,0.1,0.358513,5,0.1,0.580475,5,0.1
0.000112,1,1.32022,10,1.84953,0.2,0.360023,5,0.2,0.582432,5,0.2
0.000113,1,1.3268,10,1.87905,0.3,0.361472,5,0.3,0.584229,5,0.3
0.000114,0,1.33326,10,1.9108,0.4,0.362872,5,0.4,0.585906,5,0.4
0.000115,0,1.33958,10,1.94136,0.5,0.364212,5,0.5,0.587431,5,0.5
0.000116,0,1.34596,10,1.97091,0.6,0.365554,5,0.6,0.589009,5,0.6
0.000117,0,1.35239,10,1.99913,0.7,0.366896,5,0.7,0.59063,5,0.7
0.000118,0,1.35888,10,2.02605,0.8,0.368245,5,0.8,0.592312,5,0.8
0.000119,0,1.36545,10,2.05169,0.9,0.3696,5,0.9,0.594054,5,0.9
0.00012,0,1.37207,10,2.07608,1,0.370963,5,1,0.595856,5,1
0.000121,1,1.37877,10,2.10163,0.1,0.372333,5,0.1,0.597716,5,0.1
0.000122,1,1.38538,10,2.12947,0.2,0.373666,5,0.2,0.59949,5,0.2
0.000123,1,1.39184,10,2.15901,0.3,0.374941,5,0.3,0.60111,5,0.3
0.000124,0,1.39819,10,2.1909,0.4,0.376167,5,0.4,0.602609,5,0.4
0.000125,0,1.40439,10,2.22176,0.5,0.377331,5,0.5,0.603948,5,0.5
0.000126,0,1.41063,10,2.25155,0.6,0.378494,5,0.6,0.605328,5,0.6
0.000127,0,1.41692,10,2.27992,0.7,0.379658,5,0.7,0.606752,5,0.7
0.000128,0,1.42328,10,2.3069,0.8,0.38083,5,0.8,0.608241,5,0.8
0.000129,0,1.42971,10,2.33251,0.9,0.382011,5,0.9,0.609794,5,0.9
0.00013,0,1.43621,10,2.35679,1,0.3832,5,1,0.611409,5,1
0.000131,1,1.44278,10,2.38212,0.1,0.384399,5,0.1,0.613087,5,0.1
0.000132,1,1.44927,10,2.40968,0.2,0.385562,5,0.2,0.614683,5,0.2
0.000133,1,1.45561,10,2.43887,0.3,0.386669,5,0.3,0.616126,5,0.3
0.000134,0,1.46184,10,2.47048,0.4,0.387728,5,0.4,0.617452,5,0.4
0.000135,0,1.46791,10,2.50125,0.5,0.388724,5,0.5,0.618612,5,0.5
0.000136,0,1.47401,10,2.53087,0.6,0.389716,5,0.6,0.6198,5,0.6
0.000137,0,1.48016,10,2.55901,0.7,0.39071,5,0.7,0.621035,5,0.7
0.000138,0,1.48638,10,2.58567,0.8,0.391714,5,0.8,0.622338,5,0.8
0.000139,0,1.49268,10,2.6109,0.9,0.392727,5,0.9,0.623707,5,0.9
0.00014,0,1.49905,10,2.63471,1,0.393751,5,1,0.625143,5,1
0.000141,1,1.50548,10,2.65949,0.1,0.394786,5,0.1,0.626644,5,0.1
0.000142,1,1.51185,10,2.68642,0.2,0.395788,5,0.2,0.628067,5,0.2
0.000143,1,1.51806,10,2.71494,0.3,0.396735,5,0.3,0.629341,5,0.3
0.000144,0,1.52417,10,2.74591,0.4,0.397635,5,0.4,0.6305,5,0.4
0.000145,0,1.53011,10,2.77621,0.5,0.398472,5,0.5,0.631489,5,0.5
0.000146,0,1.53607,10,2.80533,0.6,0.399302,5,0.6,0.632495,5,0.6
0.000147,0,1.54209,10,2.83288,0.7,0.400136,5,0.7,0.633549,5,0.7
0.000148,0,1.54818,10,2.85889,0.8,0.400981,5,0.8,0.634675,5,0.8
0.000149,0,1.55434,10,2.8834,0.9,0.401837,5,0.9,0.635871,5,0.9
0.00015,0,1.56057,10,2.90643,1,0.402705,5,1,0.637135,5,1
0.000151,1,1.56688,10,2.93035,0.1,0.403586,5,0.1,0.638468,5,0.1
0.000152,1,1.57312,10,2.95637,0.2,0.404436,5,0.2,0.639727,5,0.2
0.000153,1,1.57921,10,2.98393,0.3,0.405232,5,0.3,0.64084,5,0.3
0.000154,1,1.5852,10,3.0135,0.4,0.405983,5,0.4,0.641838,5,0.4
0.000155,0,1.59104,10,3.04308,0.5,0.406679,5,0.5,0.642694,5,0.5
0.000156,0,1.59686,10,3.07096,0.6,0.407358,5,0.6,0.643525,5,0.6
0.000157,0,1.60277,10,3.09764,0.7,0.408049,5,0.7,0.644435,5,0.7
0.000158,0,1.60873,10,3.12272,0.8,0.408746,5,0.8,0.645394,5,0.8
0.000159,0,1.61476,10,3.14624,0.9,0.409456,5,0.9,0.646426,5,0.9
0.00016,0,1.62087,10,3.16823,1,0.410179,5,1,0.64753,5,1
0.000161,1,1.62705,10,3.19105,0.1,0.410916,5,0.1,0.648704,5,0.1
0.000162,1,1.63317,10,3.21591,0.2,0.411625,5,0.2,0.649808,5,0.2
0.000163,1,1.63914,10,3.24228,0.3,0.412281,5,0.3,0.650769,5,0.3
0.000164,1,1.64501,10,3.27061,0.4,0.412894,5,0.4,0.651618,5,0.4
0.000165,0,1.65073,10,3.29917,0.5,0.413453,5,0.5,0.652326,5,0.5
0.000166,0,1.65643,10,3.32595,0.6,0.413991,5,0.6,0.652996,5,0.6
0.000167,0,1.6622,10,3.35149,0.7,0.414545,5,0.7,0.653749,5,0.7
0.000168,0,1.66804,10,3.37539,0.8,0.415105,5,0.8,0.654554,5,0.8
0.000169,0,1.67395,10,3.39768,0.9,0.41568,5,0.9,0.655434,5,0.9
0.00017,0,1.67993,10,3.4184,1,0.41627,5,1,0.656389,5,1
0.000171,1,1.686,10,3.43988,0.1,0.416875,5,0.1,0.657417,5,0.1
0.000172,1,1.692,10,3.46338,0.2,0.417454,5,0.2,0.658378,5,0.2
0.000173,1,1.69786,10,3.48834,0.3,0.417981,5,0.3,0.659198,5,0.3
0.000174,1,1.70361,10,3.51523,0.4,0.418467,5,0.4,0.659908,5,0.4
0.000175,0,1.70923,10,3.54253,0.5,0.418901,5,0.5,0.660479,5,0.5
0.000176,0,1.7148,10,3.56799,0.6,0.419312,5,0.6,0.661003,5,0.6
0.000177,0,1.72046,10,3.59217,0.7,0.419739,5,0.7,0.661613,5,0.7
0.000178,0,1.72617,10,3.61467,0.8,0.420175,5,0.8,0.662277,5,0.8
0.000179,0,1.73197,10,3.63553,0.9,0.420627,5,0.9,0.663018,5,0.9
0.00018,0,1.73785,10,3.65479,1,0.421095,5,1,0.663837,5,1
0.000181,1,1.7438,10,3.67476,0.1,0.421581,5,0.1,0.664731,5,0.1
