Time,D_pedro,portadora_pedro,Vref,Vc
4.12e-005,0.26249,0.3,5,0.492758
4.13e-005,0.262413,0.325,5,0.494907
4.14e-005,0.262337,0.35,5,0.49705
4.15e-005,0.26226,0.375,5,0.499186
4.16e-005,0.262184,0.4,5,0.501314
4.17e-005,0.262107,0.425,5,0.503436
4.18e-005,0.26203,0.45,5,0.505551
4.19e-005,0.261954,0.475,5,0.50766
4.2e-005,0.261877,0.5,5,0.509761
4.21e-005,0.2618,0.525,5,0.511855
4.22e-005,0.261723,0.55,5,0.513943
4.23e-005,0.261646,0.575,5,0.516024
4.24e-005,0.261569,0.6,5,0.518098
4.25e-005,0.261492,0.625,5,0.520165
4.26e-005,0.261415,0.65,5,0.522226
4.27e-005,0.261338,0.675,5,0.524279
4.28e-005,0.261261,0.7,5,0.526326
4.29e-005,0.261184,0.725,5,0.528366
4.3e-005,0.261107,0.75,5,0.5304
4.31e-005,0.26103,0.775,5,0.532427
4.32e-005,0.260953,0.8,5,0.534446
4.33e-005,0.260876,0.825,5,0.53646
4.34e-005,0.260798,0.85,5,0.538466
4.35e-005,0.260721,0.875,5,0.540466
4.36e-005,0.260644,0.9,5,0.542459
4.37e-005,0.260566,0.925,5,0.544446
4.38e-005,0.260489,0.95,5,0.546426
4.39e-005,0.260411,0.975,5,0.548399
4.4e-005,0.260334,1,5,0.550365
4.41e-005,0.260256,0.025,5,0.552351
4.42e-005,0.261104,0.05,5,0.554366
4.43e-005,0.26195,0.075,5,0.556403
4.44e-005,0.262796,0.1,5,0.55847
4.45e-005,0.263641,0.125,5,0.560566
4.46e-005,0.264486,0.15,5,0.562692
4.47e-005,0.26533,0.175,5,0.564847
4.48e-005,0.266173,0.2,5,0.567031
4.49e-005,0.267016,0.225,5,0.569244
4.5e-005,0.267858,0.25,5,0.571486
4.51e-005,0.268699,0.275,5,0.573758
4.52e-005,0.269298,0.3,5,0.576029
4.53e-005,0.269213,0.325,5,0.578294
4.54e-005,0.269128,0.35,5,0.580551
4.55e-005,0.269043,0.375,5,0.582801
4.56e-005,0.268958,0.4,5,0.585043
4.57e-005,0.268873,0.425,5,0.587278
4.58e-005,0.268788,0.45,5,0.589506
4.59e-005,0.268703,0.475,5,0.591726
4.6e-005,0.268617,0.5,5,0.593939
4.61e-005,0.268532,0.525,5,0.596144
4.62e-005,0.268447,0.55,5,0.598342
4.63e-005,0.268362,0.575,5,0.600533
4.64e-005,0.268276,0.6,5,0.602716
4.65e-005,0.268191,0.625,5,0.604892
4.66e-005,0.268105,0.65,5,0.607061
4.67e-005,0.26802,0.675,5,0.609222
4.68e-005,0.267934,0.7,5,0.611376
4.69e-005,0.267849,0.725,5,0.613523
4.7e-005,0.267763,0.75,5,0.615662
4.71e-005,0.267677,0.775,5,0.617795
